1,1,845.9740116981,3
1,2,1429.3493972908,5
1,3,1422.1210266632,5
1,4,1248.5087615741,4
1,5,1249.9736578177,4
1,6,735.448089727,2
1,7,1482.5104698217,5
1,8,544.046116697,2
1,9,929.6241248222,3
1,10,1385.3311805556,5
1,11,1557.364857508,5
1,12,1732.5453977988,5
1,13,1175.9351367455,4
1,14,1275.9801504108,5
1,15,1686.0182020006,5
1,16,787.1660117184,3
1,17,545.4635472394,2
1,18,665.0869697359,2
1,19,194.3627101485,1
1,20,185.9475967012,1
1,21,424.7726007373,1
1,22,1160.6442378258,4
1,23,631.6579372611,2
1,24,666.4843321331,2
1,25,914.751638546,3
1,26,1350.5537066556,5
1,27,1807.1469992276,5
1,28,744.4795396091,2
1,29,1573.2822929254,5
1,30,1747.0317278102,5
1,31,1434.8351731824,5
2,1,1664.5454244039,5
2,2,1696.2000745885,5
2,3,1264.18708762,5
2,4,1291.3063888889,5
2,5,864.641913474,3
2,6,1842.5742570481,5
2,7,1669.1246652647,5
2,8,1808.645278112,5
2,9,1433.8687532662,5
2,10,1611.5420768464,5
2,11,778.8971596845,3
2,12,1010.6753390709,4
2,13,980.0068420225,3
2,14,717.3139574124,2
2,15,1351.3889474104,5
2,16,888.7264712275,3
2,17,560.5853512871,2
2,18,671.9344763747,2
2,19,1277.805528334,5
2,20,2095.9524445872,5
2,21,1711.4740418813,5
2,22,1587.5309413909,5
2,23,633.1798009259,2
2,24,626.4686459809,2
2,25,634.8155853175,2
2,26,839.8915403285,3
2,27,1187.799897549,4
2,28,1945.4394117845,5
2,29,1655.5894233617,5
3,1,1319.5151345662,5
3,2,1768.7080034594,5
3,3,1556.3585042662,5
3,4,1042.6316135308,4
3,5,1044.3728711995,4
3,6,1055.8918210967,4
3,7,970.6310453046,3
3,8,1059.4777758582,4
3,9,1953.4593848734,5
3,10,1002.986474859,4
3,11,974.8177410074,3
3,12,1155.6402539683,4
3,13,1440.5539657304,5
3,14,1310.0978129842,5
3,15,1050.0682361533,4
3,16,1445.6280849242,5
3,17,723.3497636848,2
3,18,868.0227251281,3
3,19,1039.6408172303,4
3,20,667.0574069042,2
3,21,565.8644711151,2
3,22,1005.4595539552,4
3,23,1168.7454329059,4
3,24,901.6572477851,3
3,25,777.6775681259,3
3,26,1650.394061102,5
3,27,1749.9100679252,5
3,28,1873.2314710795,5
3,29,1473.9535731262,5
3,30,838.7184662373,3
3,31,1190.9927419853,4
4,1,1078.7618705298,4
4,2,733.6988957039,2
4,3,1015.5199114583,4
4,4,1025.1808350695,4
4,5,797.0657039931,3
4,6,1560.6478718203,5
4,7,1417.6087241841,5
4,8,841.1849701179,3
4,9,1151.0570693132,4
4,10,1137.5046130291,4
4,11,1488.3156579875,5
4,12,776.9943549339,3
4,13,621.6367978426,2
4,14,880.8663614137,3
4,15,1490.7791445404,5
4,16,966.0842741481,3
4,17,486.345458024,1
4,18,919.4341726978,3
4,19,705.7081123305,2
4,20,1722.0470702018,5
4,21,871.1766867516,3
4,22,650.7574554766,2
4,23,1302.3726586674,5
4,24,1268.7464661254,5
4,25,1268.9569505978,5
4,26,1021.8768090119,4
4,27,948.1309721123,3
4,28,1022.2703211783,4
4,29,1381.1141369559,5
4,30,1013.028586677,4
5,1,1561.2483789747,5
5,2,1124.4807057179,4
5,3,978.2911335685,3
